Row Labels,Sum of Responder,Sum of ResponderSales
ALT_BIRTH_19,78,561962.62
ALT_BIRTH_37,740,5074208.84
ALT_BIRTH_38,423,3852404.26
ALT_FEEDE_2,24,92903.41
ALT_FEEDE_3,902,6422051.51
ALT_FEEDE_57,116,374622.88
ALT_MW_24,37,235004.84
ALT_MW_25,24,146559.81
ALT_MW_32,24,98276
ALT_MW_33,14,90808.01
ALT_MW_53,,
ALT_MW_54,7,20850.06
ALT_MW_55,3,40344.02
ALT_MW_56,,
ALT_SBC_39,354,2783934.63
ALT_SBC_40,607,3766843.49
ALT_SBC_41,547,3358875.39
ALT_SBC_42,185,1460334.03
ALT_SBC_43,346,2561231.81
ALT_SBC_46,102,297701.83
ALT_SBC_48,8,101998.02
ALT_SBC_49,5,52319.02
ALT_SBC_50,39,118186.54
ALT_SBC_51,16,221255.16
ALT_SBC_52,312,1382754.08
ALT_SBC_58,,
BROD_BROD_1813,,
BROD_BROD_1814,,
BROD_BROD_1815,,
BROD_BROD_1816,,
BROD_BROD_1817,,
BROD_BROD_1818,,
BROD_BROD_1819,,
BROD_BROD_1820,,
BROD_BROD_1821,,
BROD_BROD_1822,,
BROD_BROD_1823,,
BROD_BROD_1825,95,638678.91
BROD_BROD_1826,113,721929.45
BROD_BROD_1827,20,131098.07
BROD_BROD_1828,351,2720761.36
BROD_BROD_1829,41,205982.51
BROD_BROD_1830,78,415661.94
BROD_BROD_1831,120,466062.82
BROD_BROD_1832,11,72933.17
BROD_BROD_1833,55,278886.17
BROD_BROD_1834,162,1031891.64
BROD_BROD_1835,180,908259.17
BROD_BROD_1837,83,529945.25
BROD_BROD_1838,109,742204.54
BROD_BROD_1839,140,805595.16
BROD_BROD_1840,377,2344269.13
BROD_BROD_1841,347,1799716.08
BROD_BROD_1842,209,1256002.46
BROD_BROD_1843,249,1571818.31
BROD_BROD_1844,209,1138213.68
BROD_BROD_1845,40,218279.02
BROD_BROD_1846,420,2795447.47
BROD_BROD_1895,,
BROD_BROD_1947,107,695281.96
BROD_BROD_1948,167,1043665.27
BROD_BROD_1949,43,271819.02
BROD_BROD_1950,36,211416.63
BROD_BROD_1951,186,953587.77
BROD_BROD_1952,72,418264.26
BROD_BROD_1953,238,1388835.41
BROD_BROD_1954,86,505120.37
BROD_BROD_1955,145,945525.02
BROD_BROD_1956,115,833866.24
BROD_BROD_1957,85,536536.61
BROD_BROD_1958,322,2540880.1
BROD_BROD_1959,18,175931.03
BROD_BROD_1960,20,194325.77
BROD_BROD_1961,14,181365.02
BROD_BROD_1963,,
BROD_BROD_1964,,
BROD_BROD_1965,,
BROD_BROD_1966,,
BROD_BROD_1967,,
BROD_BROD_1968,,
BROD_BROD_1969,,
BROD_BROD_1970,,
BROD_BROD_1971,,
BROD_BROD_1972,,
BROD_BROD_1973,,
BROD_BROD_1974,,
BROD_BROD_1975,,
BROD_BROD_1977,58,369839.06
BROD_BROD_1979,75,514667.82
BROD_BROD_1981,25,145010
BROD_BROD_1983,20,115135.5
BROD_BROD_1985,100,482394.14
