,,"45,041","34,44,81,898","62,664",,,"5,004","2,43,71,541","5,050",,
city,campaignCode,responders,sales,bills,abv,amv,redeemers,redeemers_Sales,redeemers_Bills,redeemers_ABV,redeemers_AMV
BHUBANESWAR,BROD_BROD_2399,3,11892,3,3964,3964,1,1795,1,1795,1795
RANCHI,BROD_BROD_2399,1,24485,1,24485,24485,0,0,0,0,0
Gurgaon,BROD_BROD_2399,3,13800,3,4600,4600,1,1019,1,1019,1019
VIZIANAGARAM,BROD_BROD_2219,19,123598,25,4944,6505,7,32076,8,4010,4582
GWALIOR,BROD_BROD_2219,21,167790,24,6991,7990,11,66023,11,6002,6002
DALTONGANJ,BROD_BROD_2219,25,199299,29,6872,7972,7,36372,8,4546,5196
JAMSHEDPUR,BROD_BROD_2219,21,134484,23,5847,6404,9,56717,9,6302,6302
BHUBANESWAR,BROD_BROD_2219,16,118335,17,6961,7396,6,30482,6,5080,5080
GORAKHPUR,BROD_BROD_2219,18,127895,22,5813,7105,5,28290,5,5658,5658
Gurgaon,BROD_BROD_2219,17,91537,17,5385,5385,4,26379,4,6595,6595
DUMKA,BROD_BROD_2219,12,87090,13,6699,7258,5,14234,5,2847,2847
LUCKNOW,BROD_BROD_2001,2,18894,4,4724,9447,0,0,0,0,0
DEORIA,BROD_BROD_2001,3,31459,4,7865,10486,0,0,0,0,0
PRAYAGRAJ,BROD_BROD_2001,2,19494,2,9747,9747,0,0,0,0,0
LUCKNOW,BROD_BROD_2001,1,6298,1,6298,6298,0,0,0,0,0
AMBALA,BROD_BROD_2001,3,17796,4,4449,5932,0,0,0,0,0
ETAWAH,BROD_BROD_2001,2,14184,3,4728,7092,0,0,0,0,0
LUDHIANA,BROD_BROD_2001,2,10486,4,2622,5243,0,0,0,0,0
JAGDALPUR,BROD_BROD_2442,9,57266,9,6363,6363,0,0,0,0,0
KOLHAPUR,BROD_BROD_2442,12,144245,15,9616,12020,1,2799,1,2799,2799
BENGALURU,BROD_BROD_2442,18,176833,18,9824,9824,1,2999,1,2999,2999
THIRUVANANTHAPURAM,BROD_BROD_2118,1,2634,1,2634,2634,0,0,0,0,0
CALICUT,BROD_BROD_2118,3,7285,3,2428,2428,1,1537,1,1537,1537
THIRUVANANTHAPURAM,BROD_BROD_2118,1,12592,2,6296,12592,1,2195,1,2195,2195
DELHI,BROD_BROD_2439,1,2599,1,2599,2599,0,0,0,0,0
LUCKNOW,BROD_BROD_2439,1,3499,1,3499,3499,0,0,0,0,0
HYDERABAD,BROD_BROD_2439,5,18426,5,3685,3685,0,0,0,0,0
DELHI,BROD_BROD_2108,44,287723,52,5533,6539,0,0,0,0,0
BAREILLY,BROD_BROD_2108,30,269486,33,8166,8983,0,0,0,0,0
DELHI,BROD_BROD_2108,42,328249,46,7136,7815,2,7097,2,3548,3548
JAMMU,BROD_BROD_2108,16,130122,17,7654,8133,0,0,0,0,0
KANPUR,BROD_BROD_2108,11,112340,12,9362,10213,1,3598,1,3598,3598
PANCHKULA,BROD_BROD_2108,16,91895,19,4837,5743,3,5644,3,1881,1881
PATIALA,BROD_BROD_2108,17,115627,17,6802,6802,1,2599,1,2599,2599
Gurgaon,BROD_BROD_2230,10,68913,10,6891,6891,1,2799,1,2799,2799
LUCKNOW,BROD_BROD_2230,3,21875,4,5469,7292,0,0,0,0,0
BUDAUN,BROD_BROD_2230,2,5947,2,2974,2974,0,0,0,0,0
DELHI,BROD_BROD_2230,1,2599,1,2599,2599,0,0,0,0,0
Gurugram,BROD_BROD_2024,1,22955,2,11478,22955,0,0,0,0,0
Gurgaon,BROD_BROD_2142,6,3164353,693,4566,527392,0,0,0,0,0
BOKARO STEEL CITY,BROD_BROD_2142,17,92216,18,5123,5424,5,21988,5,4398,4398
RAMGARH CANTONMENT,BROD_BROD_2142,6,30185,8,3773,5031,1,2799,1,2799,2799
DHANBAD,BROD_BROD_2142,3,12096,3,4032,4032,0,0,0,0,0
DALTONGANJ,BROD_BROD_2142,13,71049,14,5075,5465,4,13489,4,3372,3372
HYDERABAD,BROD_BROD_2172,7,3201144,617,5188,457306,1,4790,1,4790,4790
HYDERABAD,BROD_BROD_2172,8,96449,12,8037,12056,0,0,0,0,0
HYDERABAD,BROD_BROD_2172,12,123834,13,9526,10320,0,0,0,0,0
Gurgaon,BROD_BROD_2172,2,20394,4,5098,10197,0,0,0,0,0
SILIGURI,BROD_BROD_2172,3,13990,3,4663,4663,0,0,0,0,0
NELLORE,BROD_BROD_2172,10,132029,12,11002,13203,0,0,0,0,0
HYDERABAD,BROD_BROD_2172,5,24682,5,4936,4936,2,5697,2,2848,2848
BHUBANESWAR,BROD_BROD_2172,6,25986,7,3712,4331,1,3499,1,3499,3499
MEERUT,BROD_BROD_2172,4,48870,5,9774,12218,0,0,0,0,0
BENGALURU,BROD_BROD_2172,4,17639,5,3528,4410,0,0,0,0,0
KOTTAYAM,BROD_BROD_2047,2,5998,2,2999,2999,0,0,0,0,0
KOCHI,BROD_BROD_2047,9,26865,10,2686,2985,0,0,0,0,0
DIMAPUR,BROD_BROD_1780,10,37571,11,3416,3757,1,1998,1,1998,1998
IMPHAL,BROD_BROD_1780,1,2595,1,2595,2595,0,0,0,0,0
KOHIMA,BROD_BROD_1780,1,2799,1,2799,2799,0,0,0,0,0
KOCHI,BROD_BROD_2120,4,14474,4,3618,3618,0,0,0,0,0
KOTTAYAM,BROD_BROD_2120,7,28430,8,3554,4061,1,2399,1,2399,2399
Gurgaon,BROD_BROD_2120,2,5033,2,2516,2516,0,0,0,0,0
THIRUVANANTHAPURAM,BROD_BROD_2120,2,14797,2,7398,7398,0,0,0,0,0
KOCHI,BROD_BROD_1786,24,107948,27,3998,4498,3,12591,3,4197,4197
Gurgaon,BROD_BROD_1786,49,273777,54,5070,5587,5,20172,5,4034,4034
SAMBALPUR,BROD_BROD_1786,14,66263,16,4141,4733,2,9989,2,4994,4994
BENGALURU,BROD_BROD_1786,14,71989,15,4799,5142,2,13692,2,6846,6846
ITANAGAR,BROD_BROD_1786,28,113660,32,3552,4059,2,5994,2,2997,2997
ETAWAH,BROD_BROD_2443,16,108444,19,5708,6778,0,0,0,0,0
AMRITSAR,BROD_BROD_2443,6,28353,6,4726,4726,0,0,0,0,0
JODHPUR,BROD_BROD_2443,9,60025,9,6669,6669,0,0,0,0,0
SILCHAR,BROD_BROD_2056,43,164052,52,3155,3815,1,5998,1,5998,5998
PATNA,BROD_BROD_2056,41,258196,54,4781,6297,3,8495,3,2832,2832
NAWADA,BROD_BROD_2056,42,286611,48,5971,6824,0,0,0,0,0
BHUBANESWAR,BROD_BROD_2056,30,216056,35,6173,7202,2,16892,2,8446,8446
ARRAH,BROD_BROD_2056,32,199530,33,6046,6235,2,7897,2,3948,3948
GUWAHATI,BROD_BROD_2056,32,190485,39,4884,5953,0,0,0,0,0
BHUBANESWAR,BROD_BROD_2056,35,204594,39,5246,5846,0,0,0,0,0
MOTIHARI,BROD_BROD_2056,56,357658,64,5588,6387,1,1595,1,1595,1595
GORAKHPUR,BROD_BROD_1999,37,301925,60,5032,8160,15,74351,15,4957,4957
GHAZIABAD,BROD_BROD_1999,62,549275,74,7423,8859,17,70993,17,4176,4176
LUCKNOW,BROD_BROD_1999,59,472048,76,6211,8001,14,69744,14,4982,4982
VARANASI,BROD_BROD_1999,37,266417,42,6343,7200,11,49147,11,4468,4468
HALDWANI,BROD_BROD_1999,76,671569,98,6853,8836,18,124215,18,6901,6901
JAMMU,BROD_BROD_1999,36,277192,42,6600,7700,9,43519,9,4835,4835
MANDI,BROD_BROD_1999,39,323667,49,6605,8299,11,53124,11,4829,4829
HARIDWAR,BROD_BROD_1999,26,213300,30,7110,8204,3,9592,3,3197,3197
Gurugram,BROD_BROD_2019,1,22955,2,11478,22955,0,0,0,0,0
THIRUVANANTHAPURAM,BROD_BROD_2438,3,23292,3,7764,7764,0,0,0,0,0
KOCHI,BROD_BROD_2438,2,17289,2,8644,8644,0,0,0,0,0
KANPUR,BROD_BROD_1985,26,125976,45,2799,4845,2,6298,2,3149,3149
JHANSI,BROD_BROD_1985,30,164060,37,4434,5469,0,0,0,0,0
BARABANKI,BROD_BROD_1985,36,177431,47,3775,4929,1,2999,1,2999,2999
HANUMANGARH,BROD_BROD_1985,36,182879,49,3732,5080,0,0,0,0,0
ALWAR,BROD_BROD_1985,31,169520,38,4461,5468,2,3797,2,1898,1898
SAGAR,BROD_BROD_1985,14,65422,14,4673,4673,0,0,0,0,0
KASHIPUR,BROD_BROD_1985,22,166753,35,4764,7580,3,9245,3,3082,3082
SULTANPUR,BROD_BROD_1985,26,115687,28,4132,4450,3,14995,3,4998,4998
Gurgaon,BROD_BROD_2287,90,424798,102,4165,4720,4,12695,4,3174,3174
DEHRADUN,BROD_BROD_2245,21,194882,21,9280,9280,0,0,0,0,0
KANPUR,BROD_BROD_2245,16,124055,16,7753,7753,1,5198,1,5198,5198
AMBIKAPUR,BROD_BROD_2245,31,202806,35,5794,6542,4,19540,4,4885,4885
YAMUNANAGAR,BROD_BROD_2245,15,158536,16,9908,10569,0,0,0,0,0
LUCKNOW,BROD_BROD_2245,33,194341,34,5716,5889,1,5598,1,5598,5598
BAREILLY,BROD_BROD_2245,10,78516,11,7138,7852,0,0,0,0,0
PATIALA,BROD_BROD_2245,17,105251,17,6191,6191,0,0,0,0,0
GUWAHATI,BROD_BROD_1754,30,172964,32,5405,5765,9,44863,9,4985,4985
BHILWARA,BROD_BROD_2213,9,93107,11,8464,10345,3,11990,3,3997,3997
AMBALA,BROD_BROD_2213,27,158255,31,5105,5861,4,14481,4,3620,3620
RAIGARH,BROD_BROD_2213,9,32045,9,3561,3561,0,0,0,0,0
RAIPUR,BROD_BROD_2213,11,69353,11,6305,6305,2,7393,2,3696,3696
MOGA,BROD_BROD_2213,9,52529,11,4775,5837,1,2999,1,2999,2999
BHOPAL,BROD_BROD_2213,12,115447,15,7696,9621,0,0,0,0,0
KOTA,BROD_BROD_2213,10,58322,10,5832,5832,1,2799,1,2799,2799
DELHI,BROD_BROD_2065,96,640431,128,5003,6671,7,44469,7,6353,6353
BIKANER,BROD_BROD_2065,71,415857,86,4836,5857,6,20037,6,3340,3340
GWALIOR,BROD_BROD_2065,108,649909,130,4999,6018,7,20584,7,2941,2941
AGRA,BROD_BROD_2065,43,258838,51,5075,6019,1,6498,1,6498,6498
LUDHIANA,BROD_BROD_2065,64,358126,77,4651,5596,5,16838,5,3368,3368
AJMER,BROD_BROD_2065,53,318259,58,5487,6005,5,22090,5,4418,4418
Gurgaon,BROD_BROD_2065,59,319229,66,4837,5411,4,16688,4,4172,4172
UDAIPUR,BROD_BROD_2065,70,430838,73,5902,6155,3,10093,3,3364,3364
LUCKNOW,BROD_BROD_1740,67,436566,76,5744,6516,4,21225,4,5306,5306
CUTTACK,BROD_BROD_2258,2,5796,3,1932,2898,2,5097,2,2548,2548
IMPHAL,BROD_BROD_2258,1,13595,1,13595,13595,0,0,0,0,0
GORAKHPUR,BROD_BROD_1744,15,83736,18,4652,5582,0,0,0,0,0
NAUGARH,BROD_BROD_1744,20,283666,36,7880,14183,6,14538,6,2423,2423
GORAKHPUR,BROD_BROD_1744,16,143888,18,7994,8993,0,0,0,0,0
MAUNATH BHANJAN,BROD_BROD_1744,2,9996,2,4998,4998,0,0,0,0,0
LUCKNOW,BROD_BROD_2456,3,6297,3,2099,2099,0,0,0,0,0
JAIPUR,BROD_BROD_2456,2,23889,3,7963,11944,0,0,0,0,0
DEHRADUN,BROD_BROD_2456,9,50029,10,5003,5559,0,0,0,0,0
RAIPUR,BROD_BROD_1739,94,467393,112,4173,4972,1,2999,1,2999,2999
KOLKATA,BROD_BROD_1737,37,214673,39,5504,5802,0,0,0,0,0
PRAYAGRAJ,BROD_BROD_1993,23,150927,30,5031,6562,1,3348,1,3348,3348
GONDA,BROD_BROD_1993,31,169281,33,5130,5461,0,0,0,0,0
GORAKHPUR,BROD_BROD_1993,32,167879,34,4938,5246,2,6296,2,3148,3148
AJMER,BROD_BROD_1993,31,151529,35,4329,4888,3,11341,3,3780,3780
MORADABAD,BROD_BROD_1993,42,231944,48,4832,5522,1,5998,1,5998,5998
VARANASI,BROD_BROD_1993,15,96188,18,5344,6413,1,4598,1,4598,4598
LUCKNOW,BROD_BROD_1993,15,64255,16,4016,4284,1,2999,1,2999,2999
DALTONGANJ,BROD_BROD_1993,17,66967,17,3939,3939,1,5398,1,5398,5398
SILIGURI,BROD_BROD_1825,19,148431,27,5497,7812,2,12492,2,6246,6246
