,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Sum of Responder,Sum of ResponderSales,Sum of responders,Sum of sales,check 1,check2,check 3,check 4
,,,,,,Campagin level,,store level,,,,,,,,,,,,,,,,,,ALT_BIRTH_19, 78 ," 5,61,963 ", 141 ," 10,10,699 ", 0.55 , 0.56 ,0.55,0.56
Row Labels,Sum of responders,Sum of sales,,,Row Labels,Sum of Responder,Sum of ResponderSales,Sum of responders,Sum of sales,check 1,check2,,,,,,,,,,,,,,,ALT_BIRTH_37, 740 ," 50,74,209 "," 1,299 "," 91,21,153 ", 0.57 , 0.56 ,0.57,0.56
ALT_BIRTH_19,141,1010699,,,ALT_BIRTH_19, 78 ," 5,61,963 ", 141 ," 10,10,699 ", 0.55 , 0.56 ,,,,,,,,,,,,,,,ALT_BIRTH_38, 423 ," 38,52,404 ", 718 ," 65,31,136 ", 0.59 , 0.59 ,0.59,0.59
ALT_BIRTH_37,1299,9121153,,,ALT_BIRTH_37, 740 ," 50,74,209 "," 1,299 "," 91,21,153 ", 0.57 , 0.56 ,,,,,,,,,,,,,,,ALT_FEEDE_2, 24 ," 92,903 ", 25 ," 94,702 ", 0.96 , 0.98 ,0.96,0.98
ALT_BIRTH_38,718,6531136,,,ALT_BIRTH_38, 423 ," 38,52,404 ", 718 ," 65,31,136 ", 0.59 , 0.59 ,,,,,,,,,,,,,,,ALT_FEEDE_3, 902 ," 64,22,052 "," 1,059 "," 2,00,77,147 ", 0.85 , 0.32 ,0.85,0.32
ALT_FEEDE_2,25,94702,,,ALT_FEEDE_2, 24 ," 92,903 ", 25 ," 94,702 ", 0.96 , 0.98 ,,,,,,,,,,,,,,,ALT_FEEDE_57, 116 ," 3,74,623 ", 167 ," 5,42,349 ", 0.69 , 0.69 ,0.69,0.69
ALT_FEEDE_3,1059,20077147,,,ALT_FEEDE_3, 902 ," 64,22,052 "," 1,059 "," 2,00,77,147 ", 0.85 , 0.32 ,,,,,,,,,,,,,,,ALT_MW_24, 37 ," 2,35,005 ", 55 ," 3,77,005 ", 0.67 , 0.62 ,0.67,0.62
ALT_FEEDE_57,167,542349,,,ALT_FEEDE_57, 116 ," 3,74,623 ", 167 ," 5,42,349 ", 0.69 , 0.69 ,,,,,,,,,,,,,,,ALT_MW_25, 24 ," 1,46,560 ", 35 ," 2,25,307 ", 0.69 , 0.65 ,0.69,0.65
ALT_MW_13,3,89594,,,ALT_MW_24, 37 ," 2,35,005 ", 55 ," 3,77,005 ", 0.67 , 0.62 ,,,,,,,,,,,,,,,ALT_MW_32, 24 ," 98,276 ", 38 ," 1,90,439 ", 0.63 , 0.52 ,0.63,0.52
ALT_MW_14,43,202602,,,ALT_MW_25, 24 ," 1,46,560 ", 35 ," 2,25,307 ", 0.69 , 0.65 ,,,,,,,,,,,,,,,ALT_MW_33, 14 ," 90,808 ", 25 ," 1,85,274 ", 0.56 , 0.49 ,0.56,0.49
ALT_MW_17,3,89594,,,ALT_MW_32, 24 ," 98,276 ", 38 ," 1,90,439 ", 0.63 , 0.52 ,,,,,,,,,,,,,,,ALT_MW_53,,, NA , NA , -   , -   , -   , -   
ALT_MW_18,41,202802,,,ALT_MW_33, 14 ," 90,808 ", 25 ," 1,85,274 ", 0.56 , 0.49 ,,,,,,,,,,,,,,,ALT_MW_54, 7 ," 20,850 ", 14 ," 59,166 ", 0.50 , 0.35 ,0.5,0.35
ALT_MW_24,55,377005,,,ALT_MW_53,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,ALT_MW_55, 3 ," 40,344 ", 3 ," 40,344 ", 1.00 , 1.00 ,1,1
ALT_MW_25,35,225307,,,ALT_MW_54, 7 ," 20,850 ", 14 ," 59,166 ", 0.50 , 0.35 ,,,,,,,,,,,,,,,ALT_MW_56,,, NA , NA , -   , -   , -   , -   
ALT_MW_32,38,190439,,,ALT_MW_55, 3 ," 40,344 ", 3 ," 40,344 ", 1.0000 , 1.0000 ,,,,,,,,,,,,,,,ALT_SBC_39, 354 ," 27,83,935 ", 516 ," 39,83,579 ", 0.69 , 0.70 ,0.69,0.7
ALT_MW_33,25,185274,,,ALT_MW_56,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,ALT_SBC_40, 607 ," 37,66,843 ", 981 ," 61,48,762 ", 0.62 , 0.61 ,0.62,0.61
ALT_MW_54,14,59166,,,ALT_SBC_39, 354 ," 27,83,935 ", 516 ," 39,83,579 ", 0.69 , 0.70 ,,,,,,,,,,,,,,,ALT_SBC_41, 547 ," 33,58,875 ", 853 ," 54,72,819 ", 0.64 , 0.61 ,0.64,0.61
ALT_MW_55,3,40344,,,ALT_SBC_40, 607 ," 37,66,843 ", 981 ," 61,48,762 ", 0.62 , 0.61 ,,,,,,,,,,,,,,,ALT_SBC_42, 185 ," 14,60,334 ", 281 ," 23,42,198 ", 0.66 , 0.62 ,0.66,0.62
ALT_SBC_10,55,264598,,,ALT_SBC_41, 547 ," 33,58,875 ", 853 ," 54,72,819 ", 0.64 , 0.61 ,,,,,,,,,,,,,,,ALT_SBC_43, 346 ," 25,61,232 ", 570 ," 42,61,913 ", 0.61 , 0.60 ,0.61,0.6
