Id,Week,Month,StartDate,EndDate,CustomerType,SegmentId,SegmentName,Target Audience,Delivered,Sent,Undelivered,Failed,OPEN,READ,Delivery %,Open %,Read %,Responders,In store Responders,Online Responders,Common Responders,Read and Responders,Read and In store Responders,Read and Online Responders,Read and Common Responders,Responders Sales,In store Responders Sales,Online Responders Sales,Common Responders Sales,Read and Responders Sales,Read and In store Responders Sales,Read and Online Responders Sales,Read and Common Responders Sales,Responders NOBs,In store Responders NOBs,Online Responders NOBs,Common Responders NOBs,Read and Responders NOBs,Read and In store Responders NOBs,Read and Online Responders NOBs,Read and Common Responders NOBs,Points Redeemers,Points Issued,Points Redeemed,Points Redeemers Sales,Points Redeemers Bills,Coupon Redeemers,Coupons Issued,Coupons Redeemed,Coupon Redeemers Sales,Coupon Redeemers Bills,Responders Hit Rate,Responders Hit Rate Offline,Responders Hit Rate Online,Responders Hit Rate Omni,Communication Cost,Reward Cost,Total Cost,Lift,Shift,IncreamentalSales,ROI Without Reward Cost,ROI With Reward Cost,Incremental Hit Rate %
2022,Week 42,October,2025-10-13,2025-10-19,Targetted,1001,MVC_P1_MVC_Customers_dusshera_stores_oct_1,3829,1946,181,0,1702,0,1023,50.82,0.00,52.57,39,38,1,,21,21,0,,445463.55,443327.00,2136.55,,285219.00,285219.00,,,43,42,1,,24,24,0,,8,11849.00,12616.00,61198.00,8,,,,,,2.00,1.95,0.05,,1208.40,12616.00,13824.40,236894.6589,-189502.2653,47392.3936,39.2191,3.4282,-0.0094
2023,Week 42,October,2025-10-13,2025-10-19,Targetted,1002,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_rest_of_india_oct_1,32360,19532,0,0,12828,0,0,60.36,0.00,0.00,49,48,1,,0,0,0,,330554.05,328066.00,2488.05,,,,,,53,52,1,,0,0,0,,2,1617.00,1100.00,5238.00,2,,,,,,0.25,0.25,0.01,,2626.52,1100.00,3726.52,-343610.785,121818.5234,-221792.2616,-84.4434,-59.5173,0.001
2024,Week 42,October,2025-10-13,2025-10-19,Targetted,1003,N2R_P3_Existing_R_bw_1_12_Month_Mix_of_Category_chath_stores_oct_1,597,426,0,0,171,0,0,71.36,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.11,,,0,0,0,0,,
2025,Week 42,October,2025-10-13,2025-10-19,Targetted,1004,MVC_P1_MVC_Customers_common_stores_oct_1,1391,753,56,0,582,0,407,54.13,0.00,54.05,13,13,0,,7,7,0,,165590.00,165590.00,,,107989.00,107989.00,,,17,17,0,,10,10,0,,7,1827.00,9662.00,72809.00,7,,,,,,1.73,1.73,0.00,,463.20,9662.00,10125.20,0,126889.6684,126889.6684,273.9414,12.5321,
2026,Week 42,October,2025-10-13,2025-10-19,Targetted,1006,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Mix_of_Category_rest_of_india_oct_1,12773,7737,0,0,5036,0,0,60.57,0.00,0.00,11,11,0,,0,0,0,,104419.00,104419.00,,,,,,,12,12,0,,0,0,0,,0,3599.00,0.00,,0,,,,,,0.14,0.14,0.00,,1037.92,0.00,1037.92,0,94253.81,94253.81,90.8103,90.8103,
2027,Week 42,October,2025-10-13,2025-10-19,Targetted,1007,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_dusshera_stores_oct_1,2050,1137,0,0,913,0,0,55.46,0.00,0.00,2,2,0,,0,0,0,,24593.00,24593.00,,,,,,,2,2,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.18,0.18,0.00,,154.18,0.00,154.18,0,25166.0169,25166.0169,163.2249,163.2249,
2028,Week 42,October,2025-10-13,2025-10-19,Targetted,1008,MVC_P1_MVC_Customers_Max_Bill_Value_bw_0_6K_rest_of_india_oct_1,10938,5855,557,0,4526,0,2959,53.53,0.00,50.54,57,56,1,,34,34,0,,579185.05,576697.00,2488.05,,373545.00,373545.00,,,66,65,1,,41,41,0,,9,9044.00,7465.00,36006.00,9,3,0,3,13257.00,3,0.97,0.96,0.02,,3651.60,10096.00,13747.60,0,498393.1255,498393.1255,136.4862,36.2531,
2029,Week 42,October,2025-10-13,2025-10-19,Targetted,1009,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_common_stores_oct_1,2189,1511,0,0,678,0,0,69.03,0.00,0.00,4,3,1,,0,0,0,,31683.13,23766.00,7917.13,,,,,,4,3,1,,0,0,0,,0,0.00,0.00,,0,,,,,,0.26,0.20,0.07,,201.76,0.00,201.76,0,31117.5861,31117.5861,154.2307,154.2307,
2030,Week 42,October,2025-10-13,2025-10-19,Targetted,1010,Winback_P4_Existing_R_bw_13_24_Month_Casual_rest_of_india_oct_1,79088,46125,0,0,32963,0,0,58.32,0.00,0.00,107,105,2,,0,0,0,,888975.44,885165.99,3809.45,,,,,,116,114,2,,0,0,0,,2,3667.00,1380.00,7969.00,2,0,0,0,,0,0.23,0.23,0.00,,6205.03,1380.00,7585.03,10206.362,-282786.1537,-272579.7917,-43.9288,-35.9365,-0.0008
2031,Week 42,October,2025-10-13,2025-10-19,Targetted,1011,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_rest_of_india_oct_1,24001,13798,0,0,10203,0,0,57.49,0.00,0.00,26,26,0,,0,0,0,,219747.00,219747.00,,,,,,,26,26,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.19,0.19,0.00,,1857.31,0.00,1857.31,44369.0613,-11661.8043,32707.257,17.61,17.61,-0.0001
2032,Week 42,October,2025-10-13,2025-10-19,Targetted,1012,Bottom_Stores_rest_of_india_Oct_1,35343,20941,0,0,14402,0,0,59.25,0.00,0.00,69,68,1,,0,0,0,,775101.65,772613.60,2488.05,,,,,,80,79,1,,0,0,0,,6,8228.00,10981.00,39463.00,6,2,0,2,11027.00,2,0.33,0.32,0.00,,2816.19,12922.60,15738.79,602328.8548,-730413.1625,-128084.3077,-45.4814,-8.1381,-0.0036
2033,Week 42,October,2025-10-13,2025-10-19,Targetted,1013,Bottom_Stores_chath_stores_Oct_1,12025,7904,0,0,4121,0,0,65.73,0.00,0.00,15,15,0,,0,0,0,,78176.00,78176.00,,,,,,,16,16,0,,0,0,0,,1,137.00,1200.00,3159.00,1,,,,,,0.19,0.19,0.00,,1055.60,1200.00,2255.60,0,73375.9936,73375.9936,69.5112,32.5306,
2034,Week 42,October,2025-10-13,2025-10-19,Targetted,1014,Winback_P4_Existing_R_bw_13_24_Month_Casual_puja_stores_oct_1,13429,9160,0,0,4269,0,0,68.21,0.00,0.00,14,14,0,,0,0,0,,65460.00,65460.00,,,,,,,14,14,0,,0,0,0,,1,0.00,260.00,3685.00,1,,,,,,0.15,0.15,0.00,,1224.60,260.00,1484.60,0,64244.3145,64244.3145,52.4615,43.2738,
