CampaignName,Campaigncode,Campaignsubcode,mastercampaigncode,CustomerType,channel,segmentid,segmentname,campaigntype,CampaignScheduleDate,RoiStartDate,RoiEndDate,IncentiveType,IncentiveOfferCode,IncentiveValue,IncentiveNarration,TotalBase,Delivered,Undelivered,DND,Expired,Failed,Unsubscribe,DeliveryRate,Opened,OpenRate,Clicked,ClickThroughRate,Responder,ResponderSales,ResponderTransaction,ResponderATV,ResponderHitRate,ResponderVisit,ResponderABS,TotalPointIssued,PointsRedeemed,PointsRedeemer,PointsRedeemerSales,PointsRedeemerTransaction,RedeemerVisit,RedeemerHitRate,AmountRedeemer,AmountRedeemerSales,AmountRedeemerTransaction,AmountRedeemerATV,AmountRedeemerABS,CouponIssued,CouponRedeemer,CouponRedeemerSales,CouponRedeemerTransaction,CouponRedeemed,ProductRedeemer,ProductRedeemerSales,ProductRedeemerTransaction,ProductRedeemerATV,ProductRedeemerABS,PerProductRedeemer,GvRedeemer,GVRedeemerSales,GVRedeemerTransaction,GVRedeemerABS,Lift,Shift,IncreamentalSales,CommunicationCost,OfferCost,ROIWithCommunicationCost,ROIWithCommunicationCostAndRewardCost,OfferType,IncrementalHitRate,CostPerResponder,ContentType
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-01,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-01,2025-10-01,2025-10-01,,,,,2809,1352,,,,1322,,48.13%,722,53.4%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.40,,,,,,,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-02,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-02,2025-10-02,2025-10-02,,,,,2820,1349,,,,1345,,47.84%,703,52.11%,0,0%,1,18989.00,1,18989,0.07%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.00,,,,,0.0007,1692,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-03,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-03,2025-10-03,2025-10-03,,,,,1652,876,,,,709,,53.03%,487,55.59%,0,0%,1,5408.00,1,5408,0.11%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.20,,,,,0.0011,991.2,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-04,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-04,2025-10-04,2025-10-04,,,,,1710,893,,,,752,,52.22%,483,54.09%,0,0%,3,28538.0,4,7134.5,0.34%,3,3.0,225.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1026.00,,,,,0.0034,342,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-05,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-05,2025-10-05,2025-10-05,,,,,2251,1133,,,,1005,,50.33%,698,61.61%,0,0%,7,125515.0,10,12551.5,0.62%,7,3.7,2208.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1350.60,,,,,0.0062,192.94,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-06,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-06,2025-10-06,2025-10-06,,,,,1652,854,,,,718,,51.69%,530,62.06%,0,0%,1,2249.00,1,2249,0.12%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.20,,,,,0.0012,991.2,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-07,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-07,2025-10-07,2025-10-07,,,,,1685,735,,,,879,,43.62%,390,53.06%,0,0%,1,3159.90,1,3159.9,0.14%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.00,,,,,0.0014,1011,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-08,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-08,2025-10-08,2025-10-08,,,,,1841,1001,,,,750,,54.37%,534,53.35%,0,0%,1,11855.00,1,11855,0.1%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.60,,,,,0.001,1104.6,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-09,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-09,2025-10-09,2025-10-09,,,,,1669,817,,,,757,,48.95%,435,53.24%,0,0%,1,8906.0,1,8906,0.12%,1,4.0,609.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1001.40,,,,,0.0012,1001.4,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-10,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-10,2025-10-10,2025-10-10,,,,,5761,3083,,,,2388,,53.52%,1686,54.69%,0,0%,5,61549.0,5,12309.8,0.16%,5,3.4,286.00,1292.00,2,39059.00,2,2,0.0649%,,,,,,,,,,,,,,,,,,,,,,,,3456.60,,,,,0.0016,691.32,on_birthday_apr_9072
